degree,type,b_m_student,start_date,end_date,year,status,eth_department,partner_organisation,thesis_title,data_publication_link,eth_collection_link
msc,sem-proj,yes,NA,2022-09-19,NA,archived,MAVT,Opero,Design and validation of a thermal disinfection unit for wastewater using biogas in humanitarian crisis situations,,https://www.research-collection.ethz.ch/handle/20.500.11850/603416
msc,thesis,yes,NA,2022-09-16,NA,archived,BAUG,Opero,Effect of fruit and vegetable waste in anaerobic digestion using faecal sludge as primary feedstock,,https://www.research-collection.ethz.ch/handle/20.500.11850/587768
msc,thesis,yes,NA,2022-10-30,NA,archived,NA,Sanergy,Statistical Modeling of SDG 6 Global Estimates,,NA
msc,sem-proj,yes,NA,2022-08-12,NA,archived,MAVT,NA,Investigating the optimization potential of brick clamps in Malawi - thermal efficiency analysis and perspectives of brickmakers,,https://www.research-collection.ethz.ch/handle/20.500.11850/580955
msc,sem-proj,yes,NA,2022-12-31,NA,archived,HEST,Green Corridors,"Examination of non-recycled marine plastic litter in order to identify recycling and beneficiation pathways in Durban, South Africa",,NA
msc,thesis,yes,NA,2022-12-31,NA,archived,MAVT,Green Corridors,"Evaluating the potential Extended Producer Responsibility returns for plastic-packaging riverine waste in Durban, South Africa",,https://doi.org/10.3929/ethz-b-000725312
bsc,thesis,yes,NA,2022-12-31,NA,archived,MAVT,AeT,"Improving market wash stations through creative and contextual design in Durban, South Africa",,https://www.research-collection.ethz.ch/handle/20.500.11850/603034
msc,sem-proj,yes,NA,2023-01-13,NA,archived,MAVT,Sandec/Eawag,Designing a small-scale screw press for blackwater dewatering,,https://www.research-collection.ethz.ch/handle/20.500.11850/595559
msc,sem-proj,yes,NA,2023-04-16,NA,archived,MAVT,Opero,Humanitarian Sanitation Solution: Design and validation of a thermal disinfection unit for wastewater using biogas for humanitarian crisis situations,,https://www.research-collection.ethz.ch/handle/20.500.11850/619207
msc,sem-proj,yes,NA,2022-10-31,NA,archived,MEST,WASTE Malawi,"Optimization of solid waste collections in Blantyre, Malawi",,https://www.research-collection.ethz.ch/handle/20.500.11850/605681
msc,thesis,yes,NA,2023-06-07,NA,archived,MAVT,NA,Thermal analysis and optimization potential of clamp kilns for fired clay brick production,,https://www.research-collection.ethz.ch/handle/20.500.11850/666850
msc,sem-proj,yes,NA,2022-12-31,NA,archived,MEST,NA,"“I have just accepted it”: Hierarchies of Power and Healthcare Waste Management Practices in Blantyre, Malawi",,https://www.research-collection.ethz.ch/handle/20.500.11850/598010
msc,sem-proj,yes,NA,2022-12-31,NA,archived,MAVT,Green Corridors/ Kimberly Clark,Bin it - design of an AHP waste collection model for informal settlements in South Africa,,https://www.research-collection.ethz.ch/handle/20.500.11850/594375
